Time,Amb pressure (PSI),Accel Ped. Pos. (%),Boost (PSI),Boost set limit (PSI),Boost target (PSI),Coolant (*C),Cyl1 Timing Cor (*),Ethanol Content (%),Fuel low pressure sensor (PSI),Gear (-),IAT (*C),Lambda bank 1 (AFR),Lambda bank 2 (AFR),Load actual,Load req.,MAF Req (wgdc) (g/s),Oil temp (*C),Rail pressure (PSI),Speed (km/h),Transmission temp (*C),WGDC Bank 1 (%),MHD version 1.91 I8A0S v8.0 Stage 2+ 93oct_98ron
329.617,14.6,0,-11.2,22.5,0,97,0,0,0,3,46,234.95,234.95,11.9,11.9,24.2,97,677.4,130,54,52.2,0
329.696,14.6,0,-11.2,22.5,0,97,0,0,0,3,46,234.95,234.95,11.8,11.9,24,97,677.4,130,54,52.2,0
329.773,14.6,0,-11.2,22.5,0,97,0,0,0,3,46,234.95,234.95,11.8,11.8,23.9,97,678.9,129,54,52.6,0
329.846,14.6,0,-11.3,22.5,0,97,0,0,0,3,46,234.95,234.95,11.8,11.8,23.7,97,674.6,128,54,52.6,0
329.927,14.6,0,-11.3,22.5,0,97,0,0,0,3,46,234.95,234.95,11.8,11.8,23.6,97,672.4,128,54,52,0
330.006,14.6,0,-11.3,22.5,0,97,0,0,0,3,46,234.95,234.95,11.8,11.8,23.4,97,671.6,127,54,52.3,0
330.086,14.6,0,-11.3,22.5,0,97,0,0,0,3,46,234.95,234.95,11.8,11.8,23.2,97,669.1,126,54,52,0
330.162,14.6,0,-11.3,22.5,0,97,0,0,0,3,45,234.95,234.95,11.7,11.8,23.1,97,668,125,54,52.1,0
330.236,14.6,0,-11.3,22.5,0,97,0,0,0,3,45,234.95,234.95,11.7,11.7,22.9,97,669.1,125,54,52.1,0
330.319,14.6,0,-11.3,22.5,0,97,0,0,0,3,45,234.95,234.95,11.7,11.7,22.7,97,665.8,124,54,52.4,0
330.396,14.6,0,-11.3,22.5,0,97,0,0,0,3,45,234.95,234.95,11.6,11.7,22.5,97,664.8,123,54,52.4,0
